Month,Date,Year,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
7,7/12/02,2002,11:45,"Port Alsworth, Alaska","Air Taxi - Bigfoot Air of Alaska, LLC","Lake Hood, AK - Iliamna, AK",de Havilland DHC-2,4,4,"The commercial pilot of the float-equipped airplane was transporting passengers to a lodge at a remote lake. When the airplane did not arrive at the lake, a search was initiated, and two days later the wreckage of the airplane was located on the side of a box canyon about the 2,400 foot elevation level. The pilot's failure to maintain clearance from terrain while maneuvering inside a box/blind canyon, resulting in an in-flight collision with terrain. A factor contributing to the accident was the box/blind canyon."
7,7/16/02,2002,,"Near Long Barai, Indonesia",Sabang Merauke Raya Air Charter,Tarakan - Krayan,Britten-Norman BN-2A Islander,10,10,"Air trafficontrol lost contact with the aircraft 15 minutes before it was scheduled to land. The wreckage was found atop a 5,300 ft. mountain, surrounded by thick jungle, 5 miles from its destination."
7,7/16/02,2002,19:45,"Off Cromer, Norfork, England",Bristow Helicopters,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,11,11,"The helicopter was ferrying workers from a gas rig to a oil platform in the North Sea when it crashed into the water at high speed, 28 miles northeast of Cromer. The helicopter was at a height of 320 ft. flying in a south-easterly heading when one of the rotor blades failed.  The accident was caused by a broken rotor blade, caused by fatigue, brought about by a lightning strike three years earlier."
7,7/17/02,2002,14:22,"Surkhet, Nepal",Skyline Airways,Jumla - Surkhet,de Havilland Canada DHC-6 Twin Otter 300,4,4,"The aircraft hit a tree and crashed into a hill, 6 miles north of Surkhet in poor weather conditions. Wreckage was strewn over a wide area."
7,7/27/02,2002,12:45,"Lviv, Ukraine",Military - Ukraine Air Force,,Sukhoi Su-27,2,0,The Su-76 was performing aerobatics when it crashed into crowd of spectators at an air show at Skniliv Airport in the Ukraine. The aircraft had just performed a steep turn when it appeared to tumble and enter a steep dive from which it failed to recover. The two pilots parachuted to safety.  Pilot error. The pilots ignored their flight plans and performed untried and complicated maneuvers which led to a loss of control. Both received a jail sentence of 14 years.
7,7/28/02,2002,15:25,"Moscow, Russia",Pulkovo Aviation Enterprise,Moscow - St. Petersburgh,Iluyshin Il-86,16,14,"A Russian passenger airliner on a training flight crashed shortly after takeoff from Moscow's Sheremetyevo Airport. After reaching an altitude of about 600 ft., the plane banked hard left, hit the ground and exploded. Sixteen of 18 crewmembers aboard were killed. Two flight attendants survived. Investigation revealed that the stabilizer spontaneously shifted to the full down position two seconds after takeoff. Six seconds after the shift, the captain tried to compensate by thrusting the control stick forward as far as possible, but was unable to regain control of the aircraft."
8,8/7/02,2002,22:00,"Caguas, Puerto Rico",Military - U.S. Air Force,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,10,10,"The military plane crashed into a mountain top, approximately 10 miles south of San Juan, Puerto Rico, in rough terrain, while performing low-level training exercises. Witnesses reported the aircraft was flying low and hit some trees before crashing into a ravine, bursting into flames and disintegrating. There was rain and fog at the time of the accident."
8,8/15/02,2002,12:35,"Kadjuduwa Watta, Sri Lanka",Military - Sri Lanka Air Force,,Yunshuji Y-8D,5,5,"The military plane developed engine trouble while en route, tried to return to the airport but crashed into a paddy field and was destroyed."
8,8/19/02,2002,,"Khankala, Chechnya",Military - Russian Air Force,,Mil Mi-26,147,121,"The Russian transport helicopter, carrying troops, crashed at Russian military headquarter near the capital city of Grozny. Reporting an engine fire, the pilot attempted to make an emergency landing when the helicopter fell from a height of 660 feet and missed the tarmaby 990 feet, crashed and caught fire.  The helicopter was shot down by Chechen guerillas with a shoulder-launched heat-seeking anti-aircraft missile. The missile destroyed the helicopter's right engine and starting a fire on board. The left engine stopped at the same time. The entire hydraulicontrol system, including the system used to open the rear door was not working, as burning fuel gushed into the cabin trapping people inside. This is the worst helicopter disaster in aviation history."
8,8/22/02,2002,9:41,"Pokhara, Nepal",Shangri La Air,Jomsom - Pokhara,de Havilland Canada DHC-6-300 Twin Otter,18,18,The plane crashed into a hill 3 miles southeast of Pokhara Airport while on approach. The plane broke into several pieces and bodies and wreckage was scattered over a small area. There was poor weather in the area at the time of the accident.
8,8/29/02,2002,11:58,"Near Ayan, Russia",Vostok Aviakompania,Khabarovsk - Ayan,Antonov AN-28,16,16,The twin prop plane crashed into a cliff in dense fog as it prepared to land at Ayan. ATC lost contact with the aircraft 12 minutes before it was scheduled to land.  The crew made four attempts to land before disappearing off radar.
8,8/30/02,2002,13:08,"Lexington, Kentucky",Care Flight International,"Marco, Fl - Lexington, KY",Learjet 25C,5,1,"While attempting to land the air ambulance, the thrust reverser deployed lights did not illuminate, so the captain stowed the thrust reverse levers and activated them again with the same result. The captain then released and reapplied the brakes with no effect. The airplane then overran the runway and the right wing struck the ILS antennas and lighting. The plane came to rest and burst into flames. The captain's addition of forward thrust during the landing rollout, which resulted in a lack of braking effectiveness and a subsequent runway overrun. A factor was the captain's inability to deploy the thrust reversers for undetermined reasons."
8,8/30/02,2002,18:30,"Rio Branco, Brazil",Rico Taxi Aí©reo,Cruzeiro do Sul - Tarauaca - Rio Branco,Embraer 120ER Brasilia,31,23,The plane crashed about 1 mile short of the runway in heavy rain and strong winds while attempting to land at Rio Branco Airport. Congressman Ildefonso Cordeiro was among the victims.
9,9/2/02,2002,,"Near Xichang, China",CAAC Air TraffiManagement Bureau,Survey,Cessna 650 Citation VI,3,3,"The survey flight to check out the ILS on Runway 36 the plane circled for another approach and collided with a slope of a mountain at an altitude off 2,500 meters which was shrouded in clouds."
9,9/4/02,2002,9:00,"High Prarie, Alberta, Canada",Airco Charters - Air Taxi,"Edmond, Alberta - High Prarie, Alberta",PA-34-220T Seneca III,2,2,"Crashed into a densly wooded area 7nm from its destination. For undetermined reasons, the aircraft descended below the minimum safe altitude as prescribed on the NDB 25 approach for High Prairie and struck the terrain."
9,9/13/02,2002,13:41,"Pucallpa, Peru",Aero Pantanal - Air Taxi,,Cessna U206G,6,6,"Shortly after taking off, the pilot radioed a distress call saying he was losing altitude and was returning to the airport. Shortly thereafter, the plane crashed in a wooded area."
9,9/14/02,2002,,"Paranapanema, Sao Paulo, Brazil",Total  Air Lines,Guarulhos - Londrina,ATR 42-300,2,2,"One hour after the takeoff , the the plane  disappeared of  Curitiba  ATC. The wreckage was found on a farm, around a crater. Unknown cause."
9,9/28/02,2002,11:35,"Near Natashquan, Quebec, Canada",Deraps Aviation,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,4,3,"The hunting charter crashed inverted in a forest while attempting to land at Agunish River. Because of the geographiand weather conditions, the pilot probably had trouble judging his horizontal and vertical distance with respect to the mountain, and the aircraft crashed."
10,10/1/02,2002,,"Vasco, India",Military - Indian Navy,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,12,12,"The two Navy aircraft flying in formation in a military flyby, crashed, after their wings collided. One plane crashed into a house under construction while the other crashed onto a field next to a highway. Six crew members on each plane were killed along with 5 on the ground."
10,10/7/02,2002,9:10,"Santa Cruz do Sul, Brazil",American Virginia,,Learjet 60,5,1,"The crew was not able to stop the plane on the rain-slick runway, overran the runway and collided with an obstacle."
10,10/23/02,2002,19:45,"Spanish Fort, Alabama",Mid-AtlantiFreight,Mobile - Mongomery,Cessna 208B Cargomaster I,1,1,"While en route the pilot of the cargo plane radioed was in an uncontrolled descent. The plane impacted the water in Big Bateau Bay. The pilot's spatial disorientation, which resulted in loss of airplane control. Contributing to the accident was the night instrument meteorological conditions with variable cloud layers"
10,10/25/02,2002,10:22,"Eveleth, Minnesota",Aviation Charter - Air Taxi,St. Paul - Eveleth,Beechcraft King Air A100,8,8,"The private charter flight crashed and burned in a wooded area 2 miles from Eveleth-Virginia Municipal Airport where it was scheduled to land. Weather was visibility 2 miles in freezing rain. Light snow and light fog. Minnesota Senator Paul Wellstone, 58, killed, along with his wife, daughter, three staff members and a crew of two. During the later stages of the approach, the flight crew failed to monitor the airplane's airspeed and allowed it to decrease to a dangerously low level and to remain below the recommended approach airspeed for about 50 seconds. The flight crew failed to recognize that a stall was imminent and allowed the airplane to enter a stall from which they did not recover. The  inadequate  airspeed  or  the  full  course deviation indicator needle deflection should have prompted the flight crew to execute a go-around; however, they failed to do so."
11,11/6/02,2002,10:10,"Near Niederanven, Luxembourg",Luxair,"Berlin, Germany - Luxembourg",Fokker 50,22,20,The plane crashed 6 miles short of the runway at Findel Airport while attempting to land in heavy fog.  Indications are that the aircraft lost all power in both engines before crashing and catching fire.
11,11/7/02,2002,10:27,"Tarakan, Indonesia",Dirgantara Air Services,Tarakan - Long Bawan,Britten-Norman BN-2A-21,10,7,"Two minutes after taking off, the aircraft went down in a swamp, about 1 mile from Juwata airport. The pilot radioed he was returning to the airport because of an engine failure."
11,11/8/02,2002,14:58,"Taos, New Mexico",Richmor Aviation,"Las Vegas, NV - Taos, NM",IAI 1124A Westwind,2,2,"While on a positioning flight the plane entered an uncontrolled descent and crashed. The pilot's inadvertent flight into mountain wave weather conditions while IMC, resulting in a loss of aircraft control."
